"% Model","T sweep - SOFC_NH3_Ni_GDC_MS.mph","","",""
"% Version","COMSOL 6.2.0.415","","",""
"% Date","Aug 8 2024, 11:34","","",""
"% Table","Table - Outflow - Surface Integration - Outflow","","",""
"% T (degC)","V_cell (V)","Total outflow (ml/min)","Total mass outflow (kg/s)","Total mass outflow (ug/s)"
"700","0.22","91.597009819156","2.6590961264696E-7","265.90961264696"
"700","0.32","87.457312321479","2.5170373319972E-7","251.70373319972"
"700","0.42","87.046868165033","2.3895659917388E-7","238.95659917388"
"700","0.52","86.894017590747","2.2647885757721E-7","226.47885757721"
"700","0.62","86.628190686187","2.1407701327131E-7","214.07701327131"
"700","0.72","86.263643596127","2.0187852246794E-7","201.87852246794"
"700","0.82","86.065330634307","1.9010378302162E-7","190.10378302162"
"700","0.92","86.336188831466","1.790606642808E-7","179.0606642808"
"746","0.22","91.437352398256","2.7058483852236E-7","270.58483852236"
"746","0.32","87.293559010813","2.5449056157562E-7","254.49056157562"
"746","0.42","87.065275708684","2.4022424095586E-7","240.22424095586"
"746","0.52","86.833985186059","2.2606194229419E-7","226.06194229419"
"746","0.62","86.542783335517","2.1204502395396E-7","212.04502395396"
"746","0.72","86.16400860916","1.9825756814376E-7","198.25756814376"
"746","0.82","85.864337811744","1.8493795487476E-7","184.93795487476"
"746","0.92","86.519982945609","1.7285160491601E-7","172.85160491601"
"800","0.22","91.22876577538","2.6979413900215E-7","269.79413900215"
"800","0.32","87.259323206667","2.525273618138E-7","252.5273618138"
"800","0.42","87.006045799087","2.3719489145378E-7","237.19489145378"
"800","0.52","86.708160653746","2.2191621563722E-7","221.91621563722"
"800","0.62","86.399871786786","2.0680543599793E-7","206.80543599793"
"800","0.72","86.010354548889","1.9196051854351E-7","191.96051854351"
"800","0.82","85.592822367602","1.7761905937933E-7","177.61905937933"
"800","0.92","86.254459990688","1.6478537722316E-7","164.78537722316"
